Mandarin,English,Spanish
隘,narrow,angosto
頰,cheek,mejilla
饒,Rao,rao
駁,barge,barcaza
鴿,pigeon,paloma
侈,extravagant,extravagante
侮,insult,insulto
僚,bureaucracy,burocracia
僱,hire,contratar
剖,dissect,disecar
咒,curse,maldición
喟,sigh,suspiro
嘟,beep,bip
嘔,vomit,vomitar
嚀,exhort,exhortar
嚨,throat,garganta
圳,Shen,shen
坤,Kun,Kun
寨,village,aldea
屁,fart,pedo
屍,corpse,cadáver
彙,exchange,intercambio
恭,respectful,respetuoso
惋,sigh,suspiro
惘,desolate,solitario
惕,be vigilant,desvelarse
憧,unsettled,inestable
扔,Throw,Tirar
捏,pinch,pellizco
摒,abandon,abandonar
撈,fishing,pesca
攸,You,Tú
曳,drag,arrastrar
枷,yoke,yugo
桶,bucket,balde
沸,boil,hervir
沮,depressed,deprimido
洽,Negotiate,Negociar
淆,confused,confundido
潘,Pan,Cacerola
濺,splash,chapoteo
烹,cooking,cocinando
煎,fry,freír
爪,claw,garra
犁,plow,arado
瑕,flaw,defecto
甩,throw away,tirar a la basura
疤,scar,cicatriz
矚,gaze,mirada
窒,suffocate,sofocar
窺,peep,mirar furtivamente
笙,Sheng,sheng
篤,Benedict,Benedicto
糧,grain,grano
綑,bundle,manojo
緬,Myanmar,Birmania
繭,cocoon,capullo
繽,colorful,vistoso
纍,tired,cansado
腺,gland,glándula
臼,mortar,mortero
苟,Gou,gou
萊,Lai,lai
葫,gourd,calabaza
蔓,vine,enredadera
蕃,Fan,Admirador
蛛,spider,araña
趟,trip,viaje
踽,hunchbacked,curcuncho
迭,overlap,superposición
逮,catch,atrapar
郤,but,pero
酣,intoxicated,embriagado
鐸,Duo,Dúo
闌,Lan,Lan
闔,close,cerca
陡,steep,empinado
陵,Mausoleum,Mausoleo
雯,Wen,wen
韋,Wei,Wei
顱,skull,cráneo
鯨,whale,ballena
黏,sticky,pegajoso
龜,turtle,tortuga
仲,Zhong,Zhong
侷,bureau,oficina
倘,if,si
偕,together,juntos
傢,Home,Hogar
兀,Wu,Wu
兇,fierce,feroz
兆,mega,mega
凄,sad,triste
匪,bandit,bandido
咕,Goo,Viscosidad
咽,pharynx,faringe
哩,Miles,Millas
喳,twitter,gorjeo
嗅,sniff,oler
嘰,grumble,queja
囑,command,dominio
垢,dirt,suciedad
奕,Yi,yi
奴,slave,esclavo
婪,Greedy,Avaro
寰,Huan,Huan
峭,steep,empinado
崖,cliff,acantilado
巍,Wei,Wei
巒,Luan,luan
巢,nest,nido
徨,Wandering,Errante
惶,anxiety,ansiedad
慄,chestnut,castaña
愴,sad,triste
憊,exhausted,exhausto
懲,punish,castigar
扒,Grill,Parrilla
抨,impeach,procesar
拱,arch,arco
拯,save,ahorrar
揀,pick,elegir
揣,surmise,conjetura
擎,Qing,Qing
攏,gather,recolectar
斌,Bin,Papelera
晝,day,día
晦,dark,oscuro
暇,leisure,ocio
柄,handle,manejar
棍,stick,palo
椎,vertebra,vértebra
榴,pomegranate,granada
檜,juniper,enebro
汲,draw,dibujar
涓,trickle,chorrito
湄,Mae,mae
漾,Yang,yang
滯,stagnation,estancamiento
漣,ripple,onda
潺,trickle,chorrito
澱,precipitate,precipitado
濱,coast,costa
瀉,diarrhea,diarrea
瀟,Xiao,xiao
瀰,Mi,Mi
烽,beacon,faro
燙,hot,caliente
狄,Di,Di
瓣,valve,válvula
癒,heal,sanar
皂,soap,jabón
盯,stare,mirada fija
眩,dizzy,mareado
磋,consult,consultar
穀,valley,valle
竭,exhaust,escape
笠,li,li
簾,curtain,cortina
粥,Porridge,Papilla
紡,spin,girar
紊,tangled,enredado
綴,embellished,embellecido
苛,harsh,duro
茸,Velvet,Terciopelo
蔥,onion,cebolla
藺,Lin,lin
蛙,frog,rana
蛻,shed,cobertizo
螞,ant,hormiga
豁,spare,repuesto
賜,bestow,otorgar
蹄,hoof,casco
逾,over,encima
遁,escape,escapar
釵,hairpin,horquilla
鈍,blunt,desafilado
霎,Instantly,Instantáneamente
餽,feed,alimentar
黝,dark green,verde oscuro
亥,Hai,Hai
仕,official,oficial
佣,commission,comisión
傍,next to,junto a
凹,concave,cóncavo
刃,edge,borde
匙,spoon,cuchara
后,back,atrás
哼,snort,bufido
囉,Hello,Hola
塚,mound,montículo
妮,Ni,Ni
姥,grandma,abuela
嫂,sister-in-law,cuñada
孰,what,qué
孽,evil,demonio
尬,embarrassed,avergonzado
尷,Embarrassed,Avergonzado
庚,Geng,geng
廓,outline,describir
徬,irresolute,irresoluto
怠,lazy,perezoso
憎,hate,odiar
懊,regret,arrepentirse
懺,repent,arrepentirse
扉,door,puerta
拙,clumsy,torpe
掏,dig,excavar
捻,twist,girar
攬,embrace,abarcar
敞,open,abierto
曇,Tan,Broncearse
棲,perch,perca
槓,bar,bar
樟,camphor,alcanfor
氧,oxygen,oxígeno
淙,Cong,cong
漬,stain,mancha
濡,moisten,humedecer
炊,cook,cocinar
炳,Bing,Bing
焰,flame,llama
熊,Bear,Oso
熾,blazing,flameante
犀,rhinoceros,rinoceronte
疚,guilty,culpable
盒,box,caja
瞪,stare,mirada fija
矗,chu,chu
矜,reserved,reservado
磁,magnetic,magnético
竄,scurry,correr
笈,Ji,Ji
篩,screen,pantalla
紗,yarn,hilo
紓,relieve,aliviar
舺,boat,bote
芋,taro,taro
芯,core,centro
苓,Ling,Abadejo
莖,stem,provenir
蔚,Wei,Wei
蝦,shrimp,camarón
裊,delicate,delicado
褐,brown,marrón
襪,socks,medias
蹊,footpath,sendero
蹺,sway,influencia
轄,Jurisdiction,Jurisdicción
迥,Very different,muy diferente
迸,burst out,salir corriendo
遏,stop,detener
釐,centimeters,centímetros
鏤,engrave,grabar
閡,gap,brecha
閨,boudoir,tocador
阱,trap,trampa
陀,Tuo,Tuo
雁,wild goose,ganso salvaje
霓,neon,neón
鬚,Must,Debe
鬢,temples,templos
鵬,Peng,Peng
鵰,carving,tallado
齣,out,afuera
丑,ugly,feo
于,At,En
伺,wait,esperar
侃,talk,hablar
偎,cuddle,abrazo
剌,stab,puñalada
剋,gram,gramo
匠,craftsman,artesano
叉,fork,tenedor
叩,knock,golpear
哎,Why,Por qué
哇,Wow,Guau
咪,Mi,Mi
哄,coax,engatusar
啜,sip,sorbo
喂,Hello,Hola
嘈,noisy,ruidoso
垮,collapse,colapsar
堵,block,bloquear
墊,pad,almohadilla
姪,nephew,sobrino
姦,evil,demonio
嫉,jealous,celoso
宵,night,noche
寥,very few,muy pocos
尉,Lieutenant,Teniente
屎,shit,mierda
屐,clog,obstruir
屜,drawer,cajón
屯,Tun,Tonel
峙,stand,pararse
嵐,Lan,Lan
庇,shelter,refugio
廬,hut,cabaña
廷,ting,tintineo
恃,rely,confiar
恬,Tian,tian
恣,wantonly,sin motivo
悼,mourn,llorar
惆,forlorn,abandonado
懦,cowardly,cobardemente
揆,揆,揆
敝,our,nuestro
杞,Qi,chi
杉,cedar,cedro
杆,rod,vara
樊,fan,admirador
橙,orange,naranja
歹,bad,malo
氯,chlorine,cloro
汐,tide,marea
沃,fertile,fértil
湃,Pai,pai
漓,Li,li
滲,seep,filtrarse
澆,pour,derramar
瀅,Ying,yin
炮,gun,pistola
烙,brand,marca
煽,fan,admirador
猴,monkey,mono
獵,hunting,caza
珮,Pei,Pei
畸,abnormal,anormal
瘡,sore,doloroso
禦,Royal,Real
稜,edge,borde
窘,embarrassed,avergonzado
筷,chopsticks,palillos
籃,basket,cesta
粽,Zong,Zong
綁,tie,atar
緘,seal,sello
繆,Miao,Miao
缸,cylinder,cilindro
羡,envy,envidiar
翱,Ao,ao
腕,wrist,muñeca
膺,Ying,yin
艋,small boat,bote pequeño
苔,moss,musgo
蜿,winding,devanado
蜒,-,-
螂,dragonfly,libélula
衲,cassock,sotana
詠,chant,cantar
詹,James,Jaime
諦,meaning,significado
謊,lie,mentir
豚,Dolphin,Delfín
貯,store,almacenar
軒,Xuan,xuan
遐,Ya,ya
遑,Not to mention,Sin mencionar
遽,suddenly,de repente
鄙,rustic,rústico
酵,yeast,levadura
鉛,lead,dirigir
鋁,aluminum,aluminio
鑰,key,llave
鑿,chisel,cincel
饑,hungry,hambriento
駝,camel,camello
鹼,base,base
黛,Dai,dai
齋,fast,rápido
丰,rich,rico
乞,beg,mendigar
亙,through,a través de
佼,handsome,elegante
俐,Li,li
偵,reconnaissance,reconocimiento
僧,monk,monje
儼,Yan,yan
兜,pocket,bolsillo
冀,hope,esperanza
凶,fierce,feroz
厝,house,casa
叭,Ba,Licenciado en Letras
吆,shout,gritar
咀,chew,masticar
咱,we,nosotros
咻,call out,gritar
喇,La,La
嗯,Um,Eh
噸,ton,tonelada
噬,bite,morder
埸,field,campo
壟,ridge,cresta
妃,concubine,concubina
妓,prostitute,prostituta
姬,Ji,Ji
嫵,flatter,halagar
嬗,transmute,transmutar
嬤,ma,mamá
岱,Dai,dai
峋,勋,勋
嵌,embedded,incorporado
帖,post,correo
弔,hang,colgar
彬,Bin,Papelera
怔,Startled,Asustado
惻,sad,triste
慷,generous,generoso
憩,rest,descansar
懵,stupid,estúpido
戍,garrison,guarnición
戮,kill,matar
扳,pull,jalar
押,charge,cargar
挪,move,mover
搥,hammer,martillo
摻,dope,droga
摹,copy,Copiar
旳,旳,旳
晤,meet,encontrarse
曖,warm,cálido
曝,exposed,expuesto
杏,apricot,albaricoque
槳,paddle,paleta
櫻,cherry,cereza
汝,Ru,ru
沐,Mu,mu
汰,Eliminate,Eliminar
沼,Swamp,Pantano
渦,eddy,remolino
溉,irrigate,irrigar
滌,polyester,poliéster
瀾,Lan,Lan
炙,broil,asar
炯,bright,brillante
熔,melt,derretir
燥,dry,seco
燼,ember,ascua
犖,Nao,Nao
狐,fox,zorro
珂,Ke,ke
畦,plot,trama
疵,defect,defecto
痰,phlegm,flema
痺,paralysis,parálisis
皓,Hao,hao
盅,cup,taza
盹,nap,siesta
眨,blink,parpadear
睫,eyelashes,pestañas
瞄,aim,apuntar
瞳,Hitomi,Hitomi
磷,phosphorus,fósforo
礁,reef,arrecife
秧,seedling,planta de semillero
粧,makeup,constituir
絨,velvet,terciopelo
纜,cable,cable
翰,John,John
肋,rib,costilla
膏,paste,pasta
范,Fan,Admirador
菠,spinach,espinaca
蕪,Wu,Wu
蕻,budding,en ciernes
蜘,spider,araña
蟑,cockroach,cucaracha
裨,benefit,beneficio
詐,fraud,fraude
譚,Tan,Broncearse
譏,ridicule,ridículo
踉,jump,saltar
踱,pace,paso
蹌,stagger,escalonar
蹣,stagger,escalonar
迤,winding,devanado
迺,Nei,nei
逄,Pang,Angustia
邃,mysterious,misterioso
鋤,hoe,azada
闡,elucidate,dilucidar
阪,Han,han
隧,tunnel,túnel
霉,mold,moho
騁,gallop,galope
骯,dirty,sucio
骸,skeleton,esqueleto
髓,marrow,médula
鴉,crow,cuervo
仆,servant,servidor
佑,bless,bendecir
俺,I,I
偌,So,Entonces
倏,Sudden,Repentino
凰,phoenix,fénix
凳,stool,heces
划,row,fila
刪,delete,borrar
劈,hack,cortar
卉,flower,flor
厥,Jue,jue
吮,suck,chupar
呻,groan,gemido
咚,Boom,Auge
哉,Zai,zai
咫,Yeah,Sí
啤,beer,cerveza
唳,唳,唳
啻,啻,啻
啾,Chirp,Chirrido
嗤,laugh,reír
嗆,choke,ahogo
噓,Shhh,Shhh
噎,choke,ahogo
噹,when,cuando
嚕,chatter,charla
嚥,pharynx,faringe
垠,Yin,Yin
墟,market,mercado
夭,tender,licitación
妾,concubine,concubina
姚,Yao,Yao
娶,marry,casarse
婁,Lou,lou
嫻,Xian,Xian
孺,Ru,ru
寢,sleep,dormir
峨,A,A
嶙,ragged,harapiento
巳,Si,Si
庶,concubine,concubina
庵,nunnery,convento de monjas
弛,relax,relajarse
彥,Yan,yan
怵,fear,miedo
恫,threaten,amenazar
惦,Concerned,Preocupado
悸,palpitate,palpitar
惰,lazy,perezoso
懾,frighten,asustar
戳,stamp,estampilla
拈,Nian,nian
拎,carry,llevar
捱,suffer,sufrir
揹,back,atrás
搏,fight,luchar
撮,Pinch,Pellizco
擷,capture,captura
攔,bar,bar
攫,grab,agarrar
斲,chop,cortar
旭,Asahi,Asahi
旱,drought,sequía
枒,桠,桠
棺,coffin,ataúd
椏,桠,桠
榷,question,pregunta
榻,couch,sofá
榖,Grain,Grano
橘,Orange,Naranja
欽,Qin,qin
殯,funeral,funeral
氟,fluorine,flúor
汶,Wen,wen
淤,silt,limo
涸,dry,seco
淮,Huai,huai
湘,Hunan,hunan
漩,swirl,remolino
澗,stream,arroyo
濯,wash,lavar
瀏,Browse,Navegar
瀚,Han,han
瀝,Lik,Me gusta
灶,kitchen,cocina
爵,Lord,Caballero
珉,Min,mín.
琉,Liu,Liu
琦,Qi,chi
瘍,ulcer,úlcera
瘴,malaria,malaria
癢,itch,picar
盎,ounce,onza
瞞,conceal,ocultar
瞥,glance,mirada
矇,Mongolian,mongol
砸,smash,smash
硫,sulfur,azufre
祗,only,solo
稠,thick,grueso
窪,depression,depresión
笆,fence,cerca
籐,rattan,rota
籽,seed,semilla
粱,beam,haz
糯,Nuo,Nuo
紜,筭,筭
絮,Xu,Xu
綽,Chua,chua
緯,latitude,latitud
緝,arrest,detención
繃,stretch,estirar
纔,talent,talento
罈,altar,altar
罔,Regardless,A pesar de todo
聇,Nie,nie
臻,Zhen,zhen
芷,Zhi,Zhi
茱,Zhu,Zhu
莞,Wan,Pálido
蓊,thick,grueso
蕙,Hui,hui
薰,Kaoru,Kaoru
薦,recommend,recomendar
蛾,moth,polilla
蝟,Hedgehog,Erizo
蟄,sting,picadura
蠕,Creepy,Espeluznante
蠶,silkworm,gusano de seda
袍,robe,túnica
詛,curse,maldición
諍,criticize,criticar
譎,deceitful,engañoso
贖,redemption,redención
趴,lie,mentir
跚,limp,cojear
跛,lame,aburrido
踰,over,encima
蹦,jump,saltar
躓,stumble,tropezón
躬,bow,arco
輻,spoke,habló
逅,meet unexpectedly,encontrarse inesperadamente
邂,meet unexpectedly,encontrarse inesperadamente
邐,winding,devanado
邸,Di,Di
酥,crispy,crujiente
錮,restrain,contener
鎔,rhodium,rodio
鏽,rust,óxido
鐫,engrave,grabar
鑄,cast,elenco
鑲,set,colocar
隅,corner,esquina
霾,haze,bruma
靴,boots,botas
颳,shave,afeitar
飪,cooking,cocinando
飴,Sweet,Dulce
饞,greedy,avaro
馱,piggyback,a cuestas
馴,tame,domar
駱,Luo,luo
驥,Ji,Ji
魏,Wei,Wei
魘,nightmare,pesadilla
鯉,carp,carpa
鱗,scale,escala
鶯,warbler,curruca
鷺,heron,garza
丫,Ya,ya
么,What?,¿Qué?
乒,ping,silbido
伕,伕,伕
佃,Tenant,Arrendatario
伶,Ling,Abadejo
俎,Zu,zu
刁,carry,llevar
剷,shovel,pala
勘,survey,encuesta
募,raise,aumentar
勳,Xun,xun
勺,Spoon,Cuchara
勻,uniform,uniforme
匿,hide,esconder
吭,throat,garganta
呎,feet,pies
吠,bark,ladrar
咐,command,dominio
咸,salty,salado
咦,Hey,Ey
咧,Lai,lai
啣,title,título
啥,What,Qué
唾,saliva,saliva
嗣,heir,heredero
嗚,Woo,Cortejar
嗡,Buzz,Zumbido
噢,oh,Vaya
嚅,chatteration,parloteo
囁,ugh,puaj
埔,Pu,PU
堯,Yao,Yao
壑,gully,quebrada
壢,Li,li
壼,壸,壸
奄,suddenly,de repente
奸,evil,demonio
娓,Wei,Wei
娥,E,mi
娼,prostitute,prostituta
婷,Ting,tintineo
嫗,woman,mujer
寇,Kou,kou
屹,Yi,yi
崢,Zheng,Zheng
嶄,Brand new,Para estrenar
嶼,island,isla
嶸,Rong,rong
巔,top,arriba
幀,frame,marco
廁,toilet,baño
弘,Hong,hong
弭,Mi,Mi
彗,comet,cometa
徉,walk back and forth,caminar de ida y vuelta
徙,migrate,emigrar
徜,walk back and forth,caminar de ida y vuelta
忿,angry,enojado
怦,thumping,descomunal
悚,frightened,atemorizado
愷,Kai,Kai
懈,negligent,negligente
憨,silly,tonto
戊,E,mi
抄,copy,Copiar
捺,suppress,reprimir
据,according to,de acuerdo a
搓,twist,girar
搧,fan,admirador
摺,fold,doblar
斂,converge,converger
斃,shoot,disparar
斟,Pour,Derramar
旬,ten days,diez dias
暉,Hui,hui
曆,calendar,calendario
朴,Park,Parque
柚,pomelo,pomelo
桔,Orange,Naranja
栗,chestnut,castaña
梨,pear,pera
棠,Tang,Espiga
楔,wedge,cuña
樞,pivot,pivote
槽,groove,ranura
檻,threshold,límite
櫸,beech,haya
殉,Martyrdom,Martirio
汀,Ting,tintineo
汾,Fen,Pantano
泯,obliterate,obliterar
涕,Tears,Lágrimas
涎,saliva,saliva
淅,sound of rain,sonido de lluvia
淬,quench,aplacar
渲,render,prestar
渝,Chongqing,Chongqing
淼,Miao,Miao
濾,filter,filtrar
瀑,waterfall,cascada
炬,torch,antorcha
熒,fluorescent,fluorescente
熠,shine,brillar
燬,destroy,destruir
燻,smoke,fumar
爹,father,padre
牟,Mou,mou
牡,male,masculino
琢,carve,esculpir
璣,ji,ji
璞,Pure,Puro
瓊,Joan,joan
瓢,ladle,cucharón
甬,Yong,yong
癥,disease,enfermedad
皎,bright,brillante
皚,cap,tapa
矢,arrow,flecha
砰,Bang,Estallido
硯,inkstone,piedra de entintar
磊,Lei,Lei
磯,Iso,ISO
窯,kiln,horno
箏,Zheng,Zheng
簑,coir rainwater,agua de lluvia de fibra de coco
篷,canopy,pabellón
簫,Xiao,xiao
簸,toss,sacudida
絢,gorgeous,espléndido
綣,bound in a league,atado en una liga
繚,wind,viento
羈,restrain,contener
胰,pancreatic,pancreático
腋,armpit,axila
腑,internal organs,órganos internos
腮,cheek,mejilla
臆,chest,pecho
舜,Shun,Rehuir
艦,ship,barco
芻,Cuo,Cuo
莘,Xin,Xin
蒲,Pu,PU
蔑,smear,frotis
蚋,gnat,mosquito
蜷,curl up,hacerse un ovillo
蝸,snail,caracol
螺,screw,tornillo
蠟,wax,cera
蠱,insanity,locura
袞,Gon,gon
詰,scold,regañar
詡,brag,jactarse
諺,saying,dicho
諳,familiar with,familiarizado con
賊,thief,ladrón
貲,赀,赀
贅,superfluous,superfluo
踞,squat,agacharse
蹂,trample,pisotear
踵,heel,tacón
躪,ravage,estrago
輟,cease,cesar
辟,Pirate,Pirata
逍,happy,feliz
逕,path,camino
醃,Pickle,Conservar en vinagre
釁,provoke,provocar
釉,glaze,vidriado
釦,buckle,hebilla
鈣,calcium,calcio
銹,rust,óxido
鍛,forge,fragua
鏟,shovel,pala
鏗,Keng,keng
閑,idle,inactivo
閤,combine,combinar
閻,Yan,yan
阡,footpath,sendero
霖,Lin,lin
靡,extravagant,extravagante
鞦,Autumn,Otoño
韁,Rein,Rienda
韆,thousand,mil
韶,Shao,shao
飆,soar,remontarse
飼,feed,alimentar
馥,Fragrant,Fragante
驢,donkey,burro
鮑,abalone,abulón
鱷,crocodile,cocodrilo
鷥,heron,garza
麝,musk deer,ciervo almizclero
丐,beggar,mendigo
乓,pong,apestar
仄,narrow,angosto
伽,Ga,Georgia
俑,figurines,figuritas
俟,As soon as,Tan pronto como
倥,pressed,apretado
倔,stubborn,tenaz
倪,Ni,Ni
傚,effect,efecto
傯,hurried,apresurado
僥,Fluke,Platija
冕,crown,corona
冶,smelt,eperlano
冽,harsh,duro
几,Several,Varios
卦,Gua,Gua
卯,Mao,mao
叱,scold,regañar
呷,Sip,Sorbo
咆,roar,rugido
咋,What?,¿Qué?
哮,wheeze,jadear
唬,fool,tonto
啁,chirp,chirrido
喏,Here,Aquí
嘎,Ga,Georgia
嘮,chatter,charla
嚏,sneeze,estornudo
囿,confine,confinar
坪,Ping,Silbido
垓,boundary,límite
埂,ridge,cresta
墅,villa,villa
壕,trench,zanja
夸,boast,alarde
奎,Kui,kui
妖,demon,demonio
嫦,Chang,chang
嫣,Yan,yan
嬝,delicate,delicado
嬸,aunt,tía
孜,Zi,zi
孵,hatch,escotilla
孿,twin,mellizo
寅,Yin,Yin
岐,Qi,chi
崎,rugged,escabroso
崛,Rise,Elevar
崔,Cui,Cuí
帚,broom,escoba
帛,silk,seda
帙,噙,噙
并,and,y
弧,arc,arco
弩,crossbow,ballesta
彆,Don't,No
御,Royal,Real
徽,emblem,emblema
忖,guess,adivinar
忪,Wrath,Ira
惺,Xing,xing
愫,Suspicious,Sospechoso
慵,careless,descuidado
懨,contented,contento
戎,Rong,rong
戛,Jia,Jia
戢,Ji,Ji
戾,Violent,Violento
扞,defend,defender
拌,mix,mezcla
抿,sip,sorbo
拮,antagonistic,antagonista
掄,swing,balancearse
掬,掎,掎
捩,捩,捩
掣,switch,cambiar
捶,hammer,martillo
搪,prevarication,prevaricación
撇,skim,desnatar
擄,kidnap,secuestrar
擘,break,romper
昀,Yun,yun
晌,noon,mediodía
暨,cum,semen
暱,nickname,apodo
曙,dawn,amanecer
朔,朔,朔
朦,deceive,engañar
朧,hazy,brumoso
杭,Hangzhou,Hangzhou
杰,Jay,Arrendajo
柢,梢,梢
桐,Tung,tung
梗,stem,provenir
棗,date,fecha
棧,stack,pila
椒,pepper,pimienta
榆,elm,olmo
椿,Tsubaki,Tsubaki
樺,birch,abedul
橡,oak,roble
檀,sandalwood,sándalo
櫚,Palm,Palmera
殃,calamity,calamidad
殆,almost,casi
氈,felt,sintió
氤,magic emanation,emanación mágica
氫,hydrogen,hidrógeno
氰,cyanide,cianuro
氳,heavy atmosphere,atmósfera pesada
汔,汔,汔
沽,sell,vender
涇,Jing,jing
浦,Pu,PU
涅,nirvana,nirvana
淳,Chun,Chun
湛,Zhan,Zhan
渭,Wei,Wei
湍,turbulent,turbulento
滇,Yunnan,Yunnan
漱,rinse,enjuagar
澡,bath,baño
濘,muddy,enturbiar
濠,Hao,hao
瀕,near,cerca
灸,moxibustion,moxibustión
燎,burn,quemar
燠,砠,砠
狎,玎,玎
狽,Embarrassed,Avergonzado
狸,raccoon,mapache
猖,wild,salvaje
猙,hideous,horrible
獃,stay,permanecer
獗,rude,brusco
獰,ferocious,feroz
獷,rough,bruto
琛,Chen,Chen
瑯,Lang,Lang
瑚,coral,coral
瑤,Yao,Yao
璧,jade,jade
瓏,Long,Largo
甕,urn,urna
畝,mu,mu
畜,livestock,ganado
痔,hemorrhoid,hemorroides
痳,misfortune,desgracia
痹,paralysis,parálisis
瘠,barren,estéril
癟,deflated,desinflado
皈,convert,convertir
盱,Xu,Xu
眶,orbit,órbita
睦,harmony,armonía
睞,gaze,mirada
睿,Rui,rui
瞠,Stare,Mirada fija
砭,acupuncture,acupuntura
磕,knock,golpear
礡,wide,ancho
礫,gravel,grava
祠,temple,templo
祿,Lu,Lu
禧,Jubilee,Aniversario
禹,Yu,Yu
稔,稔,稔
穌,Jesus,Jesús
穗,ear,oreja
穢,dirty,sucio
穹,dome,cúpula
竇,sinus,seno
竺,Zhu,Zhu
筐,basket,cesta
箸,chopsticks,palillos
箇,箇,箇
篋,trunk,trompa
簍,Basket,Cesta
籟,Lai,lai
粘,stick,palo
絃,string,cadena
紳,gentry,alta burguesía
辮,braid,trenza
羚,antelope,antílope
羲,Xi,Xi
翡,Fei,fei
翳,shade,sombra
聾,deaf,sordo
腥,fishy,sospechoso
膳,meal,comida
臍,navel,ombligo
舐,lick,lamer
舛,mistaken,equivocado
舶,ship,barco
艙,cabin,cabina
芥,mustard,mostaza
茉,moss,musgo
苯,benzene,benceno
茵,Yin,Yin
荖,荖,荖
萃,Cui,Cuí
菱,Ling,Abadejo
蓆,seat,asiento
蓀,Sun,Sol
蕊,pistil,pistilo
薇,Wei,Wei
藜,Quinoa,Quinoa
藹,kind,amable
虜,prisoner,prisionero
蜻,dragonfly,libélula
螃,crab,cangrejo
蟀,cricket,cricket
蟋,cricket,cricket
衊,smear,frotis
衙,Yamen,Yamen
袁,Yuan,Yuan
褂,coat,abrigo
褶,pleats,pliegues
襉,Pleats,Pliegues
訣,tactic,táctica
訧,misstep,paso en falso
詫,surprised,sorprendido
詣,Achievements,Logros
誡,commandment,mandamiento
諭,edict,edicto
謄,copy,Copiar
謐,quiet,tranquilo
謾,詩,詩
譴,condemn,condenar
豹,Leopard,Leopardo
貂,mink,visón
賂,bribe,soborno
贓,stolen goods,bienes robados
趾,toe,dedo del pie
趿,迿,迿
跎,stumble,tropezón
跫,trampling,pisoteando
踮,stand on tiptoe,ponerse de puntillas
踴,leap,salto
蹉,waste,desperdiciar
蹴,kick,patada
躅,wander,deambular
躑,误,误
軼,Yi,yi
轍,rut,rodera
迂,roundabout,rotonda
迦,Jia,Jia
逞,succeed,tener éxito
邵,Shao,shao
醺,drunken,borracho
鈞,Jun,Jun
鉗,clamp,abrazadera
鉀,Potassium,Potasio
銓,Quan,Quan
錐,cone,cono
鏘,Clang,Sonido metálico
鑒,Appreciate,Agradecer
闋,阕,阕
闕,Que,que
陞,Lift,Elevar
隸,scribe,escriba
霏,Fei,fei
靨,dimple,hoyuelo
鞍,saddle,sillín
鞠,Ju,Ju
顥,Hao,hao
餿,rancid,rancio
饅,steamed bread,pan al vapor
骼,skeleton,esqueleto
鮭,salmon,salmón
鴣,partridge,perdiz
鶉,quail,codorniz
鵪,quail,codorniz
鷓,partridge,perdiz
鹹,salty,salado
麴,Koji,koji
鼾,snore,ronquido
齟,irregular,irregular
齬,irregular teeth,dientes irregulares
丕,Pi,Pi
亨,Heng,Heng
伎,trick,truco
佰,Hundred,Centenar
俏,pretty,bonito
俘,capture,captura
倌,groom,acicalar
倨,Arrogant,Arrogante
俾,serve,atender
傀,puppet,marioneta
儡,puppet,marioneta
兌,redeem,canjear
冗,redundant,redundante
凜,cold,frío
刈,mow,cortar
刎,cut the throat,cortar la garganta
刨,plane,avión
剃,shave,afeitar
匍,crawl,gatear
匐,crawl,gatear
匡,Kuang,kuang
叨,nagging,persistente
吒,upbraid,reprender a
呱,quack,curandero
咿,babble,balbucear
唆,instigate,instigar
唧,chirp,chirrido
哽,choking,asfixia
唏,Sigh,Suspiro
啄,peck,picotear
啖,taste,gusto
喀,ka,ká
喋,chatter,charla
喑,dumb,mudo
嗝,belch,eructo
嘖,Tsk,Tsk
嘓,Bang,Estallido
嘹,Loud,Alto
噁,evil,demonio
噙,hold in mouth,sostener en la boca
噠,clatter,estrépito
囀,warble,trino
囈,babble,balbucear
囌,Su,Su
圇,囵,囵
圜,Wan,Pálido
坍,collapse,colapsar
埕,cheng,cheng
埠,port,puerto
塭,孭,孭
墀,Chi,chi
壅,obstruct,obstruir
壩,dam,presa
夙,Su,Su
娑,Suo,Suo
娟,Juan,juan
娩,delivery,entrega
娉,Ping,Silbido
嫄,嫄,嫄
嫖,visit a prostitute,visitar una prostituta
孀,widow,viuda
宕,Delay,Demora
宦,official,oficial
寐,sleep soundly,dormir profundamente
岔,fork,tenedor
嵯,lofty,elevado
嶽,Yue,yue
巫,witch,bruja
帷,curtain,cortina
幔,curtain,cortina
庖,kitchen,cocina
廖,Liao,Liao
廕,shade,sombra
彀,enough,suficiente
彊,powerful,poderoso
恤,shirt,camisa
恂,Xun,xun
恙,Chill,Enfriar
悖,contradict,contradecir
愣,stunned,aturdido
憚,dread,miedo
懍,stunned,aturdido
懣,melancholy,melancolía
懟,hate,odiar
懹,湹,湹
扼,choke,ahogo
拄,lean on,apoyarse en
拇,thumb,pulgar
捎,take along,llevar
捆,bundle,manojo
捫,palpable,palpable
挲,fondle,acariciar
掂,weigh,pesar
掐,pinch,pellizco
揩,wipe,limpiar
揍,beat,derrotar
揪,pull,jalar
揶,play antics,hacer travesuras
揄,draw out,sacar
搆,structure,estructura
摃,carry,llevar
搟,搐,搐
撩,tease,fastidiar
撚,twist,girar
擂,beat,derrotar
攙,mix,mezcla
攢,save,ahorrar
攣,spasm,espasmo
敻,滕,滕
斕,colorful,vistoso
